EARTH 440,2019-07-16 02:51:08.720949+00,3
EARTH 444,2019-07-16 02:51:08.720949+00,3
EARTH 456,2019-07-16 02:51:08.720949+00,3
EARTH 458,2019-07-16 02:51:08.720949+00,3
EARTH 458L,2019-07-16 02:51:08.720949+00,3
EARTH 459,2019-07-16 02:51:08.720949+00,3
EARTH 460,2019-07-16 02:51:08.720949+00,3
EARTH 461,2019-07-16 02:51:08.720949+00,3
EARTH 461L,2019-07-16 02:51:08.720949+00,3
EARTH 471,2019-07-16 02:51:08.720949+00,3
EARTH 490,2019-07-16 02:51:08.720949+00,3
EARTH 491,2019-07-16 02:51:08.720949+00,3
EARTH 499,2019-07-16 02:51:08.720949+00,3
EARTH 601,2019-07-16 02:51:08.720949+00,3
EARTH 602,2019-07-16 02:51:08.720949+00,3
EARTH 603,2019-07-16 02:51:08.720949+00,3
EARTH 606,2019-07-16 02:51:08.720949+00,3
EARTH 610,2019-07-16 02:51:08.720949+00,3
EARTH 611,2019-07-16 02:51:08.720949+00,3
EARTH 612,2019-07-16 02:51:08.720949+00,3
EARTH 620,2019-07-16 02:51:08.720949+00,3
EARTH 621,2019-07-16 02:51:08.720949+00,3
EARTH 622,2019-07-16 02:51:08.720949+00,3
EARTH 623,2019-07-16 02:51:08.720949+00,3
EARTH 624,2019-07-16 02:51:08.720949+00,3
EARTH 625,2019-07-16 02:51:08.720949+00,3
EARTH 626,2019-07-16 02:51:08.720949+00,3
EARTH 630,2019-07-16 02:51:08.720949+00,3
EARTH 631,2019-07-16 02:51:08.720949+00,3
EARTH 632,2019-07-16 02:51:08.720949+00,3
EARTH 634,2019-07-16 02:51:08.720949+00,3
EARTH 635,2019-07-16 02:51:08.720949+00,3
EARTH 638,2019-07-16 02:51:08.720949+00,3
EARTH 640,2019-07-16 02:51:08.720949+00,3
EARTH 641,2019-07-16 02:51:08.720949+00,3
EARTH 642,2019-07-16 02:51:08.720949+00,3
EARTH 643,2019-07-16 02:51:08.720949+00,3
EARTH 644,2019-07-16 02:51:08.720949+00,3
EARTH 645,2019-07-16 02:51:08.720949+00,3
EARTH 646,2019-07-16 02:51:08.720949+00,3
EARTH 650,2019-07-16 02:51:08.720949+00,3
EARTH 651,2019-07-16 02:51:08.720949+00,3
EARTH 653,2019-07-16 02:51:08.720949+00,3
EARTH 654,2019-07-16 02:51:08.720949+00,3
EARTH 656,2019-07-16 02:51:08.720949+00,3
EARTH 657,2019-07-16 02:51:08.720949+00,3
EARTH 658,2019-07-16 02:51:08.720949+00,3
EARTH 659,2019-07-16 02:51:08.720949+00,3
